"Sample_name","Z07_Sample_Cd_ppb","RSD_percent","Z08Cd_RSD_ppb","Z05_Cd_ppb"
"Blank",0.0976028262586317,"17.80",0.0173733030740364,0.00195205652517263
"Blank",0.0629242019137543,"30.00",0.0188772605741263,0.00125848403827509
"Blank",-0.0661287854749941,"15.70",-0.0103822193195741,-0.00132257570949988
"0.0004 ppb metal standard",-0.183075210054987,"0.00",0,-0.00366150420109973
"0.002 ppb metal standard",0.147106707566596,"10.00",0.0147106707566596,0.00294213415133193
"0.02 ppb metal standard",1.30245903938898,"17.80",0.231837709011238,0.0260491807877796
"0.1 ppb metal standard",4.98765256688896,"3.30",0.164592534707336,0.0997530513377791
"0.5 ppb metal standard",23.8915641355178,"1.60",0.382265026168284,0.477831282710355
"1 ppb metal standard",50.5742736190372,"1.00",0.505742736190372,1.01148547238074
"5 ppb metal standard",245.141748317416,"0.60",1.4708504899045,4.90283496634833
"10 ppb metal standard",518.402692013409,"1.10",5.7024296121475,10.3680538402682
"Blank",0.0793305492668773,"45.10",0.0357780777193617,0.00158661098533755
"Blank",-0.00631868896350578,"31.20",-0.0019714309566138,-0.000126373779270116
"1 ppb standard",51.3004704550467,"2.00",1.02600940910093,1.02600940910093
"Blank",-0.109977326756312,"10.80",-0.0118775512896817,-0.00219954653512624
"HW-1",-0.17267715570932,"48.00",-0.0828850347404735,-0.0034535431141864
"HW-2",-0.143403163159037,"44.60",-0.0639578107689307,-0.00286806326318075
"AW-1",-0.0968541305259561,"47.20",-0.0457151496082513,-0.00193708261051912
"AW-2",-0.269407412614644,"0.00",0,-0.00538814825229287
"1 ppb standard",51.9196344065988,"6.00",3.11517806439593,1.03839268813198
"Blank",0.0033557120017749,"31.20",0.00104698214455377,6.71142400354981e-05
"AW-3",-0.145247797690952,"24.70",-0.0358762060296651,-0.00290495595381903
"D-1",0.0311831774847555,"79.50",0.0247906261003807,0.000623663549695111
"D-2",-0.053733735833864,"88.20",-0.0473931550054681,-0.00107467471667728
"D-3",-0.197706773911031,"25.00",-0.0494266934777578,-0.00395413547822062
"DR-1",0.044564549133186,"20.80",0.0092694262197027,0.000891290982663721
"1 ppb standard",51.9891984617995,"3.80",1.97558954154838,1.03978396923599
"Blank",-0.066705724871015,"44.40",-0.0296173418427307,-0.0013341144974203
"DR-2",-0.0398154449638952,"28.90",-0.0115066635945657,-0.000796308899277905
"DR-3",0.0958101848579328,"56.70",0.0543243748144479,0.00191620369715866
"Ga-10",-0.071326757429313,"27.00",-0.0192582245059145,-0.00142653514858626
"Ga-1",0.0508976040186037,"15.70",0.00799092383092079,0.00101795208037207
"1 ppb standard",51.038947021739,"3.20",1.63324630469565,1.02077894043478
"Blank",-0.00854892887665933,"50.80",-0.00434285586934294,-0.000170978577533187
"Ga-0.02",-0.0138163748153939,"92.50",-0.0127801467042394,-0.000276327496307879
"EL-2",-0.0660152986598769,"20.00",-0.0132030597319754,-0.00132030597319754
"EL-3",0.0220218478867466,"33.30",0.00733327534628663,0.000440436957734933
"P12-1",1.93092764509055,"23.20",0.447975213661008,0.0386185529018111
"1 ppb standard",50.9988791617664,"4.70",2.39694732060302,1.01997758323533
"Blank",0.170496900701974,"18.30",0.0312009328284612,0.00340993801403948
"Blank",-0.116407444669705,"32.70",-0.0380652344069936,-0.0023281488933941
"P12-2",2.22772128207958,"27.80",0.619306516418124,0.0445544256415917
"P12-3",1.22195090263996,"14.80",0.180848733590714,0.0244390180527991
"HW-3",-0.278435826560408,"57.30",-0.159543728619114,-0.00556871653120815
"EL-1",-0.0107082667479873,"66.80",-0.0071531221876555,-0.000214165334959746
"1 ppb standard",47.4812489175368,"6.10",2.89635618396974,0.949624978350736
"Blank",-0.0584352382673847,"43.30",-0.0253024581697776,-0.00116870476534769
"0.0004 ppb metal standard",0.0576307445228695,"37.70",0.0217267906851218,0.00115261489045739
"0.002 ppb metal standard",-0.0783936383279067,"20.00",-0.0156787276655813,-0.00156787276655813
"0.02 ppb metal standard",1.03926653756355,"14.20",0.147575848334025,0.0207853307512711
"0.1 ppb metal standard",5.1935434558079,"12.30",0.638805845064372,0.103870869116158
"0.5 ppb metal standard",20.8846637094208,"8.50",1.77519641530077,0.417693274188417
"1 ppb metal standard",48.3171979130601,"7.50",3.62378984347951,0.966343958261202
"5 ppb metal standard",228.018174524675,"2.30",5.24441801406754,4.56036349049351
"10 ppb metal standard",490.362623987734,"2.40",11.7687029757056,9.80725247975467
"Blank",-0.013443658690316,"27.00",-0.00362978784638532,-0.00026887317380632
"Blank",0.03225560642688,"24.10",0.00777360114887807,0.000645112128537599
